ig_username,first_match_timestamp,last_match_timestamp,match_count,sample_text
"fb_karolina_aitcheson_0046","2025-08-10T09:05:21.614462","2025-08-10T09:06:13.907651",2,"What is this thing about vaginas
I'm Ready to join the Vegan Weight Loss Challenge"
"xbraxeletx","2025-08-06T14:50:45+10:00","2025-08-06T15:59:56",2,"Of course, that's a great question. The 28-Day Vegan Challenge is our signature program designed to solve exactly what you mentioned – that struggle with creating a routine and following through.

It's a complete framework with macronutrient-balanced meal plans and a structured training program to help you build muscle and lose fat without feeling restricted.

The call is simply for us to chat for 15 mins to see if the structure we provide is genuinely the right fit for your personal goals. It's the best way to figure out if this is the solution you've been looking for. Does that make sence?"
"kristyleecoop","2025-08-05T20:18:37","2025-08-05T20:36:54",3,"Hey there! How are you? Yep would love to!
Thanks so much for reaching out about our 6-Week Vegan Challenge. Honestly, this challenge is a big passion project! It's awesome that so many people are transitioning to a more plant-based diet, but it can also be quite hard to do, especially if you are fitness and health-focused. Generally, the vegan diet is quite low in protein and quite high in fats and carbs.
So that's exactly what this challenge is about – It helps people transition to a more macronutrient-balanced, vegan lifestyle that helps build muscle and burn fat, while being less restrictive.
Over the 6 weeks, we'll guide you through the exact framework I use with my private clients to achieve their health goals. You'll learn how to structure delicious meals and optimize your workouts to feel your best and achieve your desired weight. Over the 28 Days Members will generally lose 2-3kgs.
To see if this would be a good fit, could you tell me a little more about what you're hoping to achieve with your health and fitness? I'd love to hear about your goals."
"cocos_pt_studio","2025-07-26T19:21:26.112135","2025-08-05T15:54:59+10:00",12,"Oh sick! So its this 28 day challenge, its free and its all online. You get a custom meal plan and workout program, and ill check in with you every Monday and Wednesday to keep you on track.  Perfect! I've got all the details on my website - check out cocospersonaltraining.com/plantbasedchallenge and if it looks good, just hit the join button, then come back and let me know and ill get started on your Meal Plan"
"stabi","2025-08-04T21:12:28","2025-08-04T21:41:27",4,"That's incredible! You are already putting in so much hard work and dedication with your workouts and daily walks. That's a huge step, and you should be really proud of your progress so far.
What you're describing about struggling with food, balancing calories, and understanding nutrition is extremely common, especially when you're doing so much to take care of others. That's exactly where my program comes in!
The challenge is designed to give you a clear, no-guesswork meal plan that's both budget-friendly and delicious, so you can stop worrying about the ""food world"" and just follow a proven system that will get you to your goal of losing that next 5-10 kilos and toning up.
To make sure we create the perfect plan for you, what does your current diet look like on a typical day?"
"hannahjanedevlin","2025-07-27T19:35:20.757719","2025-08-04T17:26:13",4,"That's fantastic Hannah!  Many vegans struggle with weight loss because they unintentionally consume too many refined carbs and sugars. We focus on macronutrient balancing to avoid those pitfalls. To best tailor the challenge to you, what's your current weight and how much weight would you ideally like to lose in the 28 days?"
"blissedlia","2025-01-29T11:30:00+00:00","2025-08-04T17:03:44",3,"Thanks for clarifying that! I completely understand your concern. It's frustrating when you encounter hidden costs or trials that lead to unexpected fees. To be clear, this is not a trial or a promo in that sense. The 28-Day program is a complete, structured challenge designed to deliver results within that timeframe. All costs are transparently outlined upfront, and there are absolutely no hidden fees or automatic renewals. My goal is to be fully transparent so you know exactly what you're investing in and what you'll receive. The calendar link will help us set up a brief chat where I can walk you through everything, answer all your questions, and ensure it's a perfect fit for you. Does that sound good?"
"cocos_connected","2025-08-01T12:02:52","2025-08-01T21:42:21",5,"That's awesome! It makes perfect sense to want to feel confident and look great.  Many vegans struggle to get the right balance of protein and macros for muscle tone and fat loss, which is exactly what we address in the challenge.  So, to really dial in your plan,  what does ""looking good"" specifically mean to you – what are the key visual changes you're aiming for in the next 28 days?"
"burcherella","2025-07-31T16:50:59+10:00","2025-07-31T16:50:59+10:00",2,"I'm Ready to join the Vegan Weight Loss Challenge"
"fb_manolita_morris_5693","2025-07-31T06:31:11.503222","2025-07-31T06:31:11.503222",2,"Good Morning! Awesome to hear from you. I'd love to tell you more. As the ad mentioned, I'm personally guiding a small, dedicated group of 6 vegans through my weight training and nutrition system. The program generally helps vegans lose 2-3kgs, plus tone up. The challenge is all about - giving vegans the guidance and support they need to get the results they want, long term. What would you be aiming to achieve in the 28 days? 😊"
"fb_marc_potter_1429","2025-07-30T18:37:08.935840","2025-07-30T18:37:08.935840",1,"Hey! Awesome to hear from you. I'd love to tell you more. As the ad mentioned, I'm personally guiding a small, dedicated group of 6 vegans through my weight training and nutrition system. The program generally helps vegans lose 2-3kgs, plus tone up. The challenge is all about - movement, plant based nutrition and motivation. What would you be aiming to achieve in the 28 days? 😊"
"fb_michelle_moretta_3045","2025-07-29T10:59:50.140534","2025-07-29T10:59:50.140534",1,"Hey! Awesome to hear from you. I'd love to tell you more. As the ad mentioned, I'm personally guiding a small, dedicated group of 6 vegans through my weight training and nutrition system. The program generally helps vegans lose 2-3kgs, plus tone up. The challenge is all about - movement, plant based nutrition and motivation. What would you be aiming to achieve in the 28 days? 😊"
"raviiizz","2025-07-28T20:19:19","2025-07-28T20:19:19",1,"Hey! Awesome to hear from you. I'd love to tell you more. As the ad mentioned, I'm personally guiding a small, dedicated group of 6 vegans through my weight training and nutrition system. The program generally helps vegans lose 2-3kgs, plus tone up. The challenge is all about - movement, plant based nutrition and motivation. What would you be aiming to achieve in the 28 days? 😊"
"monique_catterall","2025-07-27T22:00:22.376309","2025-07-27T22:00:22.376309",1,"I'm Ready to join the Vegan Weight Loss Challenge"
"monica.kuszner","2025-07-27T17:20:21.518180","2025-07-27T17:20:21.518180",1,"I'm Ready to join the Vegan Weight Loss Challenge"
"melanieejane_","2025-07-27T17:09:42.260545","2025-07-27T17:10:40.260545",3,"Hey! Awesome to hear from you. I'd love to tell you more. As the ad mentioned, I'm personally guiding a small, dedicated group of 6 vegans through my weight training and nutrition system. The program generally helps vegans lose 2-3kgs, plus tone up. The challenge is all about - movement, plant based nutrition and motivation. What would you be aiming to achieve in the 28 days? 😊"
"cindy_louise_davis","2025-07-27T16:29:03.224541","2025-07-27T16:29:03.224541",1,"I'm Ready to join the Vegan Weight Loss Challenge"
"shannyn.lee_","2025-07-23T08:35:20.131382+00:00","2025-07-23T08:35:20.231766+00:00",3,"I'm Ready to join the Vegan Weight Loss Challenge"
"lucyhammondx","2025-07-23T14:13:49.789142","2025-07-23T14:37:21.472274",2,"That's awesome! Getting back into a routine to tone up and lose weight is exactly what this challenge is designed for. The combination of targeted weight training and the right vegan nutrition is the key to achieving all three of those goals.
What has been the biggest challenge for you in staying consistent with a gym routine in the past?"
"biabutcher","2025-07-23T02:06:58.141844+00:00","2025-07-23T02:06:58.141844+00:00",1,"Hey there!! Yeah for sure, would love to! Thanks for reaching out!

This is a Plant Based only 28-day Fitness program, designed to help Vegans achieve their Weight Loss Goals. The program includes, a fully tailored vegan meal plan, a tailored 28 day workout program, and personalized weekly check-ins.

This extensive program, which typically retails for over $800, is offered free of charge to 6 lucky challenge participants.

Currently, I have 3 spots left for this one, Starting the 28th/July

If your interested, could you tell me a little about your personal health and fitness goals? What are you hoping to achieve?"
"rhysmcphedran","2025-07-23T01:36:53.710958+00:00","2025-07-23T01:36:53.710958+00:00",1,"I'm Ready to join the Vegan Weight Loss Challenge"
"reece_eykle","2025-07-23T01:27:52.107810+00:00","2025-07-23T01:27:52.108808+00:00",2,"I'm Ready to join the Vegan Weight Loss Challenge"
"steamyytofu","2025-07-22T22:57:02.219112+00:00","2025-07-22T22:57:02.219112+00:00",1,"Hey there!! Yeah for sure, would love to! Thanks for reaching out!

This is a Plant Based only 28-day Fitness program, designed to help Vegans achieve their Weight Loss Goals. The program includes, a fully tailored vegan meal plan, a tailored 28 day workout program, and personalized weekly check-ins.

This extensive program, which typically retails for over $800, is offered free of charge to 6 lucky challenge participants.

Currently, I have 3 spots left for this one, Starting the 28th/July

If your interested, could you tell me a little about your personal health and fitness goals? What are you hoping to achieve?"
"miko.grady","2025-07-22T22:06:37.355299+00:00","2025-07-22T22:06:37.355299+00:00",1,"Hey there!! Yeah for sure, would love to! Thanks for reaching out!

This is a Plant Based only 28-day Fitness program, designed to help Vegans achieve their Weight Loss Goals. The program includes, a fully tailored vegan meal plan, a tailored 28 day workout program, and personalized weekly check-ins.

This extensive program, which typically retails for over $800, is offered free of charge to 6 lucky challenge participants.

Currently, I have 3 spots left for this one, Starting the 28th/July

If your interested, could you tell me a little about your personal health and fitness goals? What are you hoping to achieve?"
"kaylahanna_","2025-07-22T21:06:41.374994+00:00","2025-07-23T07:06:43.420032",2,"Hey Kayla! Thanks for your interest in the Vegan Weight Loss Challenge!

This is a Vegan only 28-day Fitness program, designed to help Vegans achieve their Weight Loss Goals. The program includes, a fully tailored vegan meal plan, a tailored 28 day workout program, and personalized weekly check-ins.

This extensive program, which typically retails for over $800, is offered free of charge to 6 lucky challenge participants.

Currently, I have 3 spots left for this one, Starting the 28th/July

If your interested, could you tell me a little about your personal health and fitness goals? What are you hoping to achieve?"
"anniegrace948","2025-07-22T12:37:16.536468+00:00","2025-07-22T12:37:16.536468+00:00",1,"Hello Annie! How are you? Thanks for your interest in the Challenge!

This is a Vegan only 28-day Fitness program, designed to help Vegans achieve their Weight Loss Goals. The program includes, a fully tailored vegan meal plan, a tailored 28 day workout program, and personalized weekly check-ins.

This extensive program, which typically retails for over $800, is offered free of charge to 6 lucky challenge participants.

Currently, I have 3 spots left for this one, Starting the 28th/July

If your interested, could you tell me a little about your personal health and fitness goals? What are you hoping to achieve?"
"rhirhifraser","2025-07-22T11:51:25.999355+00:00","2025-07-22T11:51:25.999355+00:00",1,"Hello @rhirhifraser! How are you? Thanks for your interest in the Challenge!

This is a Vegan only 28-day Fitness program, designed to help Vegans achieve their Weight Loss Goals. The program includes, a fully tailored vegan meal plan, a tailored 28 day workout program, and personalized weekly check-ins.

This extensive program, which typically retails for over $800, is offered free of charge to 6 lucky challenge participants.

Currently, I have 3 spots left for this one, Starting the 28th/July

If your interested, could you tell me a little about your personal health and fitness goals? What are you hoping to achieve?"
"hexfire_7777","2025-07-22T10:58:19.973029+00:00","2025-07-22T20:57:38.970435",2,"Hey! Thanks for your interest in the Challenge!

This is a Vegan only 28-day Fitness program, designed to help Vegans achieve their Weight Loss Goals. The program includes, a fully tailored vegan meal plan, a tailored 28 day workout program, and personalized weekly check-ins.

This extensive program, which typically retails for over $800, is offered free of charge to 6 lucky challenge participants.

Currently, I have 3 spots left for this one, Starting the 28th/July

If your interested, could you tell me a little about your personal health and fitness goals? What are you hoping to achieve?"
"fi_perley","2025-07-22T10:45:20.799542+00:00","2025-07-22T20:45:11.434450",2,"Hey Fi! Thanks for enquring about the challenge! It's a 28-day intensive program specifically designed for vegans who want to lose weight without giving up carbs or feeling deprived 🌱

Most plant-based people struggle because they either go too restrictive or don't understand how to structure their meals for fat loss.

I take you through my exact system - the same one I use with my private clients who've lost 10-15kg+ while still enjoying pasta, bread, and all their fave foods.

If your interested, could you tell me a little about your personal health and fitness goals? What are you hoping to achieve?"
"tealperryx","2025-07-21T07:04:07.278109+00:00","2025-07-22T05:43:20.915594+00:00",7,"I'm Ready to join the Vegan Weight Loss Challenge"
"jessicaathyer","2025-07-21T22:51:30.062096+00:00","2025-07-21T22:51:30.062096+00:00",1,"I'm good thanks! No need to apologise at all hey, happens like that! That's awesome you've got all that new home gym gear now, that's proper commitment! Given you're keen to get a plan sorted and you've got all that new gear to use, I reckon you'd be perfect for something special I'm running. I'm taking on a small group for my Free 28-Day Winter Challenge. It's designed to show you how to get incredible results with a tailored plan for your home gym! Reckon you'd be interested?"
"kombuchabear","2025-07-21T20:38:01.082042+00:00","2025-07-22T07:21:41.127186",3,"Thanks so much for sharing all that! Let's do it!!! 👍

Wow, it sounds like you've got such a solid foundation with being vegan for so long and your amazing healthy habits like the juices, ice baths, and sauna. That's truly awesome.

And it's really good you've identified those processed carbs, vegan meats and cheeses as areas we can work on. We can definitely tailor the meal plan to help with that.

Also, being a trained vinyasa teacher is a huge plus, you've got that body awareness! We'll make sure to design your workout program super carefully, especially with your back injuries and scoliosis. Your sleep is important too, so we'll factor that in.

It's awesome you're looking for a vegan focus, and I can definitely support you on that journey to reach your target. We'll get you there.

I'll add you to our waitlist for the Vegan Weight Loss Challenge.

I'll just need to grab your email, then I can let you know when we are ready to get started!"
"missmiles72","2025-07-21T15:05:30.149825+00:00","2025-07-21T15:05:30.149825+00:00",1,"Hey there!! Yeah for sure, would love to! Thanks for reaching out!

This is a Plant Based only 28-day Fitness program, designed to help Vegans achieve their Weight Loss Goals. The program includes a fully tailored vegan meal plan, a tailored 28 day workout program, and personalized weekly check-ins.

This extensive program, which typically retails for over $800, is offered free of charge to 6 lucky challenge participants.

Currently, I have 3 spots left for this one, Starting the 28th/July.

If you're interested, could you tell me a little about your personal health and fitness goals? What are you hoping to achieve?"
"salomaeandonov","2025-07-21T14:22:56.405728+00:00","2025-07-21T15:02:12.071188+00:00",4,"This is a Vegan only 28-day Fitness program, designed to help Vegans achieve their Weight Loss Goals. The program includes, a fully tailored vegan meal plan, a tailored 28 day workout program, and personalized weekly check-ins.

This extensive program, which typically retails for over $800, is offered free of charge to 6 lucky challenge participants.

Currently, I have 3 spots left for this one, Starting the 28th/July

If your interested, could you tell me a little about your personal health and fitness goals? What are you hoping to achieve?"
"anna_bellelle","2025-07-21T12:39:48.203402+00:00","2025-07-21T12:48:44.411026+00:00",2,"Thanks so much for sharing all that Anna! Let's do it!!!

It sounds like you've been on quite a journey with your nutrition and body image, especially with your dance background and ADHD. It's awesome you've turned things around with your veggie intake and tracking. I totally get your concerns about your metabolism and stalling progress, that's something we can absolutely look into and work on together. It's awesome you're looking for a vegan focus and I can definitely support you in reaching those goals, especially feeling confident and fit for your future. 💪

I'll add you to our waitlist for the Vegan Weight Loss Challenge.

I'll just need to grab your email, then I can let you know when we are ready to get started!"
"marenmchugh","2025-07-21T10:37:05.504485+00:00","2025-07-21T10:44:37.999645+00:00",2,"Hey there!! Yeah for sure, would love to! Thanks for reaching out!

This is a Plant Based only 28-day Fitness program, designed to help Vegans achieve their Weight Loss Goals. The program includes, a fully tailored vegan meal plan, a tailored 28 day workout program, and personalized weekly check-ins.

This extensive program, which typically retails for over $800, is offered free of charge to 6 lucky challenge participants.

Currently, I have 3 spots left for this one, Starting the 28th/July

If your interested, could you tell me a little about your personal health and fitness goals? What are you hoping to achieve?"
"user_649757228","2025-07-21T10:38:14.861285+00:00","2025-07-21T10:38:14.861285+00:00",1,"Hey there!! Yeah for sure, would love to! Thanks for reaching out!

This is a Plant Based only 28-day Fitness program, designed to help Vegans achieve their Weight Loss Goals. The program includes, a fully tailored vegan meal plan, a tailored 28 day workout program, and personalized weekly check-ins.

This extensive program, which typically retails for over $800, is offered free of charge to 6 lucky challenge participants.

Currently, I have 3 spots left for this one, Starting the 28th/July

If your interested, could you tell me a little about your personal health and fitness goals? What are you hoping to achieve?"
